State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Haryana,BHIWANI,Dry chillies,2003-04,Whole Year,110.0,Hectare,100.0,Tonnes,0.9090909090909091
Haryana,FARIDABAD,Dry chillies,2001-02,Whole Year,167.0,Hectare,300.0,Tonnes,1.7964071856287425
Haryana,FATEHABAD,Dry chillies,2001-02,Whole Year,122.0,Hectare,200.0,Tonnes,1.639344262295082
Haryana,FATEHABAD,Dry chillies,2003-04,Whole Year,49.0,Hectare,100.0,Tonnes,2.0408163265306123
Haryana,GURGAON,Dry chillies,2001-02,Whole Year,11.0,Hectare,0.0,Tonnes,0.0
Haryana,GURGAON,Dry chillies,2003-04,Whole Year,15.0,Hectare,0.0,Tonnes,0.0
Haryana,HISAR,Dry chillies,2001-02,Whole Year,444.0,Hectare,500.0,Tonnes,1.1261261261261262
Haryana,HISAR,Dry chillies,2003-04,Whole Year,276.0,Hectare,300.0,Tonnes,1.0869565217391304
Haryana,JIND,Dry chillies,2001-02,Whole Year,13.0,Hectare,0.0,Tonnes,0.0
Haryana,JIND,Dry chillies,2003-04,Whole Year,12.0,Hectare,0.0,Tonnes,0.0
Haryana,KAITHAL,Dry chillies,2001-02,Whole Year,33.0,Hectare,0.0,Tonnes,0.0
Haryana,KAITHAL,Dry chillies,2003-04,Whole Year,58.0,Hectare,100.0,Tonnes,1.7241379310344827
Haryana,KARNAL,Dry chillies,2001-02,Whole Year,119.0,Hectare,100.0,Tonnes,0.8403361344537815
Haryana,KARNAL,Dry chillies,2003-04,Whole Year,121.0,Hectare,100.0,Tonnes,0.8264462809917356
Haryana,KURUKSHETRA,Dry chillies,2001-02,Whole Year,126.0,Hectare,100.0,Tonnes,0.7936507936507936
Haryana,KURUKSHETRA,Dry chillies,2003-04,Whole Year,116.0,Hectare,100.0,Tonnes,0.8620689655172413
Haryana,MAHENDRAGARH,Dry chillies,2001-02,Whole Year,6.0,Hectare,0.0,Tonnes,0.0
Haryana,MAHENDRAGARH,Dry chillies,2003-04,Whole Year,11.0,Hectare,0.0,Tonnes,0.0
Haryana,PANCHKULA,Dry chillies,2001-02,Whole Year,59.0,Hectare,100.0,Tonnes,1.694915254237288
Haryana,PANCHKULA,Dry chillies,2003-04,Whole Year,62.0,Hectare,100.0,Tonnes,1.6129032258064515
Haryana,PANIPAT,Dry chillies,2001-02,Whole Year,318.0,Hectare,300.0,Tonnes,0.9433962264150944
Haryana,PANIPAT,Dry chillies,2003-04,Whole Year,227.0,Hectare,200.0,Tonnes,0.8810572687224669
Haryana,REWARI,Dry chillies,2001-02,Whole Year,15.0,Hectare,0.0,Tonnes,0.0
Haryana,REWARI,Dry chillies,2003-04,Whole Year,18.0,Hectare,,Tonnes,0.0
Haryana,ROHTAK,Dry chillies,2001-02,Whole Year,8.0,Hectare,0.0,Tonnes,0.0
Haryana,SIRSA,Dry chillies,2001-02,Whole Year,24.0,Hectare,0.0,Tonnes,0.0
Haryana,SIRSA,Dry chillies,2003-04,Whole Year,12.0,Hectare,0.0,Tonnes,0.0
Haryana,SONIPAT,Dry chillies,2001-02,Whole Year,96.0,Hectare,200.0,Tonnes,2.0833333333333335
